fecha;casos
5/1/21;29212
6/1/21;19852
7/1/21;27562
8/1/21;33393
9/1/21;26781
10/1/21;24055
11/1/21;35566
12/1/21;36507
13/1/21;35600
14/1/21;34862
15/1/21;39240
16/1/21;30457
17/1/21;25314
18/1/21;38747
19/1/21;38890
20/1/21;37842
21/1/21;34098
22/1/21;36725
23/1/21;27710
24/1/21;22121
25/1/21;32235
26/1/21;31400
27/1/21;29306
28/1/21;26178
29/1/21;25513
30/1/21;18989
31/1/21;13922
1/2/21;21564
2/2/21;20627
3/2/21;17947
4/2/21;15757
5/2/21;15779
6/2/21;11102
7/2/21;8166
8/2/21;12432
9/2/21;11796
10/2/21;10489
11/2/21;9191
12/2/21;9567
13/2/21;6843
14/2/21;5583
15/2/21;8322
16/2/21;8093
17/2/21;7117
18/2/21;6508
19/2/21;6535
20/2/21;5171
21/2/21;4238
22/2/21;6439
23/2/21;6237
24/2/21;5508
25/2/21;5052
26/2/21;5458
27/2/21;4050
28/2/21;3691
1/3/21;5578
2/3/21;5224
3/3/21;5202
4/3/21;4664
5/3/21;4941
6/3/21;3936
7/3/21;3505
8/3/21;5155
9/3/21;4971
10/3/21;4927
11/3/21;4663
12/3/21;5055
13/3/21;3986
14/3/21;3621
15/3/21;5665
16/3/21;5413
17/3/21;5113
18/3/21;5376
19/3/21;5079
20/3/21;4584
21/3/21;4254
22/3/21;6707
23/3/21;6898
24/3/21;6191
25/3/21;6106
26/3/21;6729
27/3/21;5464
28/3/21;5055
29/3/21;7206
30/3/21;7080
31/3/21;7189
1/4/21;6969
2/4/21;5948
3/4/21;6893
4/4/21;6925
5/4/21;8895
6/4/21;9461
7/4/21;8885
8/4/21;8387
9/4/21;8710
10/4/21;7758
11/4/21;6323
12/4/21;9283
13/4/21;8999
14/4/21;9144
15/4/21;8352
16/4/21;8674
17/4/21;7051
18/4/21;6492
19/4/21;8971
20/4/21;9628
21/4/21;8323
22/4/21;8290
23/4/21;8229
24/4/21;6706
25/4/21;5786
26/4/21;8670
27/4/21;8319
28/4/21;7739
29/4/21;6872
30/4/21;7371
1/5/21;5453
2/5/21;4613
3/5/21;6602
4/5/21;6626
5/5/21;6774
6/5/21;5544
7/5/21;5933
8/5/21;4401
9/5/21;3863
10/5/21;6035
11/5/21;5122
12/5/21;5023
13/5/21;4922
14/5/21;4945
15/5/21;4038
16/5/21;3457
17/5/21;5501
18/5/21;5413
19/5/21;4583
20/5/21;4777
21/5/21;4774
22/5/21;3621
23/5/21;3237
24/5/21;4846
25/5/21;4812
26/5/21;4863
27/5/21;4166
28/5/21;4466
29/5/21;3506
30/5/21;2988
31/5/21;4520
1/6/21;4818
2/6/21;4433
3/6/21;3806
4/6/21;3824
5/6/21;3113
6/6/21;2720
7/6/21;4003
8/6/21;3557
9/6/21;3497
10/6/21;3365
11/6/21;3335
12/6/21;2629
13/6/21;2382
14/6/21;3588
15/6/21;3565
16/6/21;3237
17/6/21;2787
18/6/21;2940
19/6/21;2204
20/6/21;2016
21/6/21;2404
22/6/21;2237
23/6/21;1193
24/6/21;1
