casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,tengo covid,sintomas covid,test covid,prediction,fecha
801.0,18.0,5.0,25.0,4.0,7.0,0.0,3.0,0.0,134.41520479038456,3/3/20
954.0,19.0,7.0,22.0,2.0,11.0,0.0,2.0,1.0,1583.9608591709668,4/3/20
1284.0,17.0,7.0,26.0,4.0,10.0,2.0,3.0,0.0,340.55600298878767,5/3/20
1628.0,17.0,3.0,21.0,3.0,8.0,0.0,3.0,0.0,1197.5789522006467,6/3/20
1868.0,14.0,5.0,27.0,3.0,10.0,0.0,1.0,0.0,-1243.9872895014978,7/3/20
2192.0,18.0,6.0,28.0,3.0,10.0,1.0,3.0,3.0,895.9288324642978,8/3/20
3407.0,21.0,5.0,38.0,6.0,11.0,0.0,9.0,0.0,-416.28861771399676,9/3/20
4666.0,29.0,9.0,51.0,4.0,12.0,0.0,15.0,2.0,1763.3174821190407,10/3/20
4743.0,33.0,10.0,65.0,5.0,11.0,0.0,8.0,0.0,-1293.202525033304,11/3/20
5942.0,43.0,13.0,88.0,4.0,15.0,2.0,25.0,7.0,3399.9525331563664,12/3/20
7806.0,53.0,14.0,94.0,4.0,16.0,3.0,22.0,6.0,5271.139089944105,13/3/20
7467.0,51.0,14.0,92.0,3.0,18.0,1.0,18.0,5.0,3762.0876217560344,14/3/20
7937.0,50.0,18.0,100.0,4.0,17.0,1.0,26.0,7.0,2892.8754613475676,15/3/20
9473.0,47.0,11.0,79.0,2.0,18.0,2.0,22.0,6.0,6641.572447997714,16/3/20
8837.0,44.0,15.0,73.0,2.0,14.0,3.0,24.0,6.0,6582.60267678477,17/3/20
8970.0,39.0,11.0,79.0,2.0,16.0,5.0,22.0,9.0,5636.881052302055,18/3/20
8664.0,43.0,13.0,68.0,4.0,15.0,2.0,32.0,13.0,8557.917294854607,19/3/20
10662.0,47.0,14.0,67.0,3.0,18.0,3.0,33.0,9.0,10462.81513211878,20/3/20
7426.0,41.0,15.0,75.0,4.0,17.0,1.0,23.0,33.0,7208.143948010459,21/3/20
6777.0,46.0,12.0,72.0,2.0,14.0,4.0,39.0,13.0,11936.280685071397,22/3/20
8265.0,36.0,11.0,52.0,2.0,20.0,2.0,14.0,14.0,6980.399544569561,23/3/20
7127.0,28.0,9.0,55.0,2.0,18.0,1.0,20.0,8.0,4093.1087530069717,24/3/20
6947.0,29.0,10.0,48.0,4.0,16.0,4.0,23.0,11.0,6595.725941792773,25/3/20
6361.0,34.0,12.0,57.0,3.0,16.0,4.0,17.0,14.0,6190.11219007907,26/3/20
6063.0,36.0,15.0,66.0,4.0,21.0,2.0,16.0,12.0,3560.75318693127,27/3/20
5364.0,37.0,16.0,66.0,5.0,28.0,3.0,22.0,13.0,5331.2552913236495,28/3/20
4245.0,38.0,13.0,69.0,3.0,24.0,5.0,10.0,11.0,4596.811354638617,29/3/20
5154.0,31.0,10.0,54.0,4.0,16.0,2.0,17.0,9.0,4108.839860673653,30/3/20
4417.0,30.0,10.0,62.0,2.0,19.0,5.0,14.0,11.0,4485.771061572275,31/3/20
5490.0,30.0,10.0,49.0,5.0,15.0,3.0,17.0,11.0,4773.225171906699,1/4/20
4453.0,27.0,14.0,40.0,4.0,24.0,5.0,16.0,14.0,6509.522888699637,2/4/20
4465.0,21.0,10.0,48.0,4.0,20.0,4.0,14.0,10.0,2470.412110638582,3/4/20
3670.0,26.0,10.0,46.0,2.0,20.0,3.0,13.0,12.0,4849.420114026619,4/4/20
3220.0,20.0,14.0,41.0,4.0,18.0,5.0,8.0,14.0,2348.0674971508706,5/4/20
3537.0,19.0,10.0,36.0,5.0,23.0,4.0,10.0,15.0,3342.1607689270845,6/4/20
3201.0,18.0,6.0,41.0,4.0,23.0,3.0,11.0,19.0,3574.9725896906048,7/4/20
3481.0,21.0,9.0,32.0,3.0,18.0,1.0,12.0,18.0,4834.0813328289505,8/4/20
3288.0,26.0,9.0,51.0,8.0,21.0,4.0,21.0,21.0,4898.712118095589,9/4/20
3181.0,22.0,6.0,34.0,5.0,15.0,3.0,13.0,16.0,5067.47345101066,10/4/20
2887.0,19.0,8.0,34.0,4.0,21.0,5.0,14.0,16.0,5544.710108750523,11/4/20
2266.0,20.0,6.0,30.0,4.0,18.0,1.0,14.0,13.0,4579.105241782127,12/4/20
2200.0,15.0,8.0,46.0,3.0,16.0,4.0,10.0,29.0,3149.1201576384274,13/4/20
2270.0,17.0,10.0,36.0,6.0,23.0,6.0,13.0,33.0,6050.796519143878,14/4/20
2388.0,15.0,6.0,35.0,4.0,15.0,10.0,16.0,22.0,7340.314639116645,15/4/20
2297.0,17.0,8.0,30.0,3.0,18.0,1.0,15.0,22.0,5108.526203478263,16/4/20
1918.0,23.0,9.0,40.0,6.0,17.0,5.0,10.0,24.0,5024.501875285052,17/4/20
1679.0,14.0,8.0,31.0,7.0,18.0,3.0,15.0,22.0,3185.3976776837544,18/4/20
1153.0,21.0,9.0,31.0,4.0,19.0,1.0,12.0,21.0,5023.786089040026,19/4/20
1492.0,12.0,4.0,30.0,4.0,12.0,3.0,16.0,19.0,4024.4320768570487,20/4/20
1337.0,13.0,7.0,23.0,4.0,16.0,2.0,9.0,24.0,4118.9671922306115,21/4/20
1481.0,18.0,7.0,28.0,3.0,14.0,5.0,11.0,34.0,8168.155549131398,22/4/20
1191.0,14.0,7.0,26.0,7.0,16.0,3.0,14.0,32.0,5134.704511432451,23/4/20
1136.0,11.0,5.0,29.0,5.0,17.0,4.0,9.0,30.0,4123.5257902223875,24/4/20
763.0,14.0,10.0,33.0,3.0,18.0,3.0,7.0,37.0,4715.801710475186,25/4/20
