fecha,casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,suma_keys
21/2/20,59,10,4,10,5,8,37
22/2/20,58,11,5,14,3,9,42
23/2/20,73,10,5,20,2,11,48
24/2/20,107,16,3,19,1,4,43
25/2/20,129,18,5,22,2,12,59
26/2/20,146,15,5,38,5,9,72
27/2/20,180,16,4,17,3,5,45
28/2/20,317,14,6,27,4,7,58
29/2/20,243,16,5,27,2,10,60
1/3/20,689,19,4,24,6,6,59
2/3/20,801,20,6,21,5,9,61
3/3/20,800,17,4,25,3,10,59
4/3/20,954,18,4,25,4,11,62
5/3/20,1284,13,7,23,3,8,54
6/3/20,1625,15,2,31,3,9,60
7/3/20,1867,15,5,26,6,10,62
8/3/20,2191,16,9,25,4,10,64
9/3/20,3407,20,5,36,7,10,78
10/3/20,4666,32,8,58,3,11,112
11/3/20,4741,34,8,67,5,11,125
12/3/20,5943,37,11,97,5,15,165
13/3/20,7806,49,14,90,2,21,176
14/3/20,7468,43,14,81,1,12,151
15/3/20,7936,48,17,100,2,22,189
16/3/20,9474,45,10,70,3,15,143
17/3/20,8838,42,13,73,1,15,144
18/3/20,8970,45,12,74,2,16,149
19/3/20,8663,47,10,55,3,12,127
20/3/20,10662,47,13,66,2,20,148
21/3/20,7426,42,12,75,7,13,149
22/3/20,6776,39,9,59,3,17,127
23/3/20,8265,35,9,53,1,16,114
24/3/20,7127,30,10,51,2,17,110
25/3/20,6947,30,9,49,4,11,103
26/3/20,6360,27,10,44,2,11,94
27/3/20,6062,24,6,38,4,14,86
28/3/20,5363,58,29,93,8,40,228
29/3/20,4245,60,12,100,5,38,215
30/3/20,5155,47,13,73,3,25,161
31/3/20,4418,45,21,89,5,30,190
1/4/20,5491,42,9,64,8,22,145
2/4/20,4451,29,17,55,5,23,129
3/4/20,4464,28,16,62,7,22,135
4/4/20,3669,45,12,73,4,23,157
5/4/20,3220,46,16,73,6,27,168
6/4/20,3536,20,14,52,6,37,129
