,fecha,casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza
0,1/1/20,1,18,3,16,3,9
1,2/1/20,0,14,4,14,2,8
2,3/1/20,1,21,8,16,4,4
3,4/1/20,0,18,4,14,2,7
4,5/1/20,0,12,4,13,1,9
5,6/1/20,0,15,6,17,1,9
6,7/1/20,0,16,2,18,1,6
7,8/1/20,0,16,4,18,3,11
8,9/1/20,0,18,6,18,1,6
9,10/1/20,1,13,2,19,5,8
10,11/1/20,1,20,5,20,2,11
11,12/1/20,1,18,2,23,3,11
12,13/1/20,2,14,3,21,3,9
13,14/1/20,0,15,2,24,1,7
14,15/1/20,1,19,5,17,6,6
15,16/1/20,1,16,5,22,3,8
16,17/1/20,1,16,4,16,2,6
17,18/1/20,2,17,6,13,4,15
18,19/1/20,0,20,4,29,3,10
19,20/1/20,3,14,2,21,4,7
20,21/1/20,0,14,5,21,2,6
21,22/1/20,0,9,3,21,2,5
22,23/1/20,2,17,2,18,3,8
23,24/1/20,2,17,4,24,3,8
24,25/1/20,1,20,8,28,4,9
25,26/1/20,2,22,4,29,1,10
26,27/1/20,1,15,4,21,2,8
27,28/1/20,1,16,5,24,3,7
28,29/1/20,4,16,2,22,2,9
29,30/1/20,1,16,4,26,2,10
30,31/1/20,3,17,4,25,3,10
31,1/2/20,16,19,4,23,3,12
32,2/2/20,10,21,3,21,4,11
33,3/2/20,11,15,2,21,3,11
34,4/2/20,9,17,7,26,5,11
35,5/2/20,6,12,6,19,4,7
36,6/2/20,9,14,4,16,4,8
37,7/2/20,16,19,4,18,4,7
38,8/2/20,9,20,4,22,4,13
39,9/2/20,3,16,2,26,1,12
40,10/2/20,22,11,4,27,3,10
41,11/2/20,13,12,4,25,2,8
42,12/2/20,23,11,4,22,2,7
43,13/2/20,24,14,3,18,4,10
44,14/2/20,19,12,5,21,2,8
45,15/2/20,35,18,4,20,6,11
46,16/2/20,23,16,2,21,4,7
47,17/2/20,27,13,2,19,3,9
48,18/2/20,27,13,4,19,1,12
49,19/2/20,17,12,2,20,2,8
50,20/2/20,53,15,4,20,4,13
51,21/2/20,59,10,4,10,5,8
52,22/2/20,58,11,5,14,3,9
53,23/2/20,73,10,5,20,2,11
54,24/2/20,107,16,3,19,1,4
55,25/2/20,129,18,5,22,2,12
56,26/2/20,146,15,5,38,5,9
57,27/2/20,180,16,4,17,3,5
58,28/2/20,317,14,6,27,4,7
59,29/2/20,243,16,5,27,2,10
60,1/3/20,689,19,4,24,6,6
61,2/3/20,801,20,6,21,5,9
62,3/3/20,800,17,4,25,3,10
63,4/3/20,954,18,4,25,4,11
64,5/3/20,1284,13,7,23,3,8
65,6/3/20,1625,15,2,31,3,9
66,7/3/20,1867,15,5,26,6,10
67,8/3/20,2191,16,9,25,4,10
68,9/3/20,3407,20,5,36,7,10
69,10/3/20,4666,32,8,58,3,11
70,11/3/20,4741,34,8,67,5,11
71,12/3/20,5943,37,11,97,5,15
72,13/3/20,7806,49,14,90,2,21
73,14/3/20,7468,43,14,81,1,12
74,15/3/20,7936,48,17,100,2,22
75,16/3/20,9474,45,10,70,3,15
76,17/3/20,8838,42,13,73,1,15
77,18/3/20,8970,45,12,74,2,16
78,19/3/20,8663,47,10,55,3,12
79,20/3/20,10662,47,13,66,2,20
80,21/3/20,7426,42,12,75,7,13
81,22/3/20,6776,39,9,59,3,17
82,23/3/20,8265,35,9,53,1,16
83,24/3/20,7127,30,10,51,2,17
84,25/3/20,6947,30,9,49,4,11
85,26/3/20,6360,27,10,44,2,11
